tx,RevokeEncodedAccountKey,GenerateUUID,GetAccountBalance,SetValue,ValueDecoded,ProgramChecked,ProgramParsed,ValueEncoded,ProgramInterpreted,GetProgram,ValueExists,GetStorageUsed,function_or_loop_call,UpdateAccountContractCode,ContractFunctionInvoke,GetValue,EmitEvent,GetStorageCapacity,GetAccountContractCode,GetCode,AllocateStorageIndex,SetProgram,CreateAccount,AddEncodedAccountKey,GetAccountAvailableBalance,ResolveLocation,ms
call empty contract function + copy array from storage and save a duplicate,0,1,0,895,16,1,1,1,5,20,0,3,45384,0,4,3355,3,3,0,0,334,1,0,0,0,3,47
emit event + get signer receiver,0,1,0,343,16,1,1,0,5,20,0,3,26662,0,4,2515,738,3,0,0,0,1,0,0,0,3,104
get public account + convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,65548,0,4,2094,3,3,0,0,0,1,0,0,0,3,52
get signer address + get signer receiver,0,1,0,343,15,7,7,0,5,29,0,3,99880,0,4,2358,3,3,6,6,0,7,0,0,0,12,225
get account and get storage capacity,0,1,0,343,3295,7,7,0,1099,3311,0,3,4378,0,1098,506428,3,1097,6,6,0,7,0,0,0,12,292
copy array from storage and save a duplicate + get account and get storage used,0,1,0,5645,15,1,1,251,5,20,0,253,82176,0,4,3198,3,3,0,0,3122,1,0,0,0,3,247
reference tx + mint NFT,0,3757,0,752483,17,1,1,0,6,23,0,4,306814,0,5,6713,3,4,0,0,3853,1,0,0,0,3,459
add and remove key to/from account,1751,1,0,343,13,1,1,0,5,20,0,3,12259,0,4,2094,3505,3,0,0,0,1,0,1751,0,3,361
create new account + reference tx,0,379,0,92197,1147,1,1,378,257,1028,378,129,544712,0,256,175848,759,129,0,0,126,1,126,0,0,3,335
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,405418,0,4,2646,3,3,0,0,0,1,0,0,0,3,365
create new account and deploy contract + emit event,0,79,0,21845,248,27,27,104,109,228,78,29,137952,26,56,38105,23146,29,26,26,52,1,26,0,0,3,198
convert int to string + get account and get balance,0,1,393,343,1192,1,1,0,398,1985,0,3,467172,0,397,190341,3,3,0,0,0,1,0,0,0,3,317
copy array from storage + add and remove key to/from account,443,1,0,343,14,1,1,0,5,20,0,3,206055,0,4,2646,889,3,0,0,0,1,0,443,0,3,243
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,20000,79990,0,4,2094,3,3,0,0,0,1,0,0,0,3,273
borrow array from storage + add and remove key to/from account,1253,1,0,343,14,1,1,0,5,20,0,3,127333,0,4,2646,2509,3,0,0,0,1,0,1253,0,3,316
transfer tokens,0,4140,0,568,16,1,1,0,5,20,0,3,144867,0,4,2480,8281,3,0,0,0,1,0,0,0,3,380
add key to account + get public account,0,1,0,343,13,1,1,0,5,20,0,3,179546,0,4,2094,125,3,0,0,0,1,0,122,0,3,298
load and save long string on signers address + get signer receiver,0,1,0,387,16,1,1,1,5,20,0,3,187780,0,4,2361,3,3,0,0,0,1,0,0,0,3,253
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,245348,0,4,2097,3,3,0,0,0,1,0,0,0,3,181
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,517802,0,4,2094,3,3,0,0,0,1,0,0,0,3,192
call empty contract function + add key to account,0,1,0,343,14,1,1,0,5,20,0,3,166725,0,4,2251,92,3,0,0,0,1,0,89,0,3,176
mint NFT,0,5483,0,1095957,17,7,7,0,6,32,0,4,65786,0,5,6476,3,4,6,6,5623,7,0,0,0,12,222
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,286902,0,4,2251,3,3,0,0,0,1,0,0,0,3,556
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,499100,0,4,2097,3,3,0,0,0,1,0,0,0,3,452
copy array from storage and save a duplicate + call empty contract function,0,1,0,895,16,1,1,1,5,20,0,3,88300,0,4,3353,3,3,0,0,3360,1,0,0,0,3,216
get account and get storage used + load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3595,231086,0,4,2138,3,3,0,0,0,1,0,0,0,3,223
create new account + convert int to string,0,448,0,108964,1354,1,1,447,303,1212,447,152,376148,0,302,207565,897,152,0,0,149,1,149,0,0,3,375
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,61568,0,4,2358,3,3,0,0,0,1,0,0,0,3,127
convert int to string + add key to account,0,1,0,343,13,1,1,0,5,20,0,3,513656,0,4,2094,759,3,0,0,0,1,0,756,0,3,247
transfer tokens + add and remove key to/from account,313,1613,0,568,16,1,1,0,5,20,0,3,58615,0,4,2480,3853,3,0,0,0,1,0,313,0,3,186
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,252794,0,4,2094,3,3,0,0,0,1,0,0,0,3,97
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,471470,0,4,2097,3,3,0,0,0,1,0,0,0,3,339
add key to account + get account and get balance,0,1,156,343,481,1,1,0,161,800,0,3,8933,0,160,76818,1664,3,0,0,0,1,0,1661,0,3,223
copy array from storage and save a duplicate + convert int to string,0,1,0,895,15,1,1,1,5,20,0,3,8648,0,4,3198,3,3,0,0,14,1,0,0,0,3,6
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,6658,0,4,3198,3,3,0,0,256,1,0,0,0,3,17
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,412316,0,4,2138,3,3,0,0,0,1,0,0,0,3,313
get public account + create new account,0,415,0,100945,1255,1,1,414,281,1124,414,141,50928,0,280,192396,831,141,0,0,138,1,138,0,0,3,202
get signer receiver + get account and get balance,0,1,455,343,1380,1,1,0,460,2295,0,3,9822,0,459,220303,3,3,0,0,0,1,0,0,0,3,249
get signer vault + reference tx,0,1,0,343,14,1,1,0,5,20,0,3,229968,0,4,2235,3,3,0,0,0,1,0,0,0,3,164
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,184894,0,4,2235,3,3,0,0,0,1,0,0,0,3,273
create new account and deploy contract + borrow array from storage,0,325,0,89659,986,109,109,432,437,884,324,111,135290,108,220,151578,759,111,108,108,216,1,108,0,0,3,334
get signer receiver + transfer tokens,0,950,0,568,16,1,1,0,5,20,0,3,68049,0,4,2480,1901,3,0,0,0,1,0,0,0,3,194
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,160004,0,4,2138,3,3,0,0,0,1,0,0,0,3,118
get signer receiver + convert int to string and concatenate it,0,1,0,343,15,1,1,0,5,20,0,3,325869,0,4,2358,3,3,0,0,0,1,0,0,0,3,190
get account and get available balance + convert int to string,0,1,0,343,1393,1,1,0,465,1400,0,463,176288,0,464,214154,3,3,0,0,0,1,0,0,460,3,209
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,19897,0,4,2094,3982,3,0,0,0,1,0,3979,0,3,310
transfer tokens + get public account,0,251,0,568,16,1,1,0,5,20,0,3,65302,0,4,2480,503,3,0,0,0,1,0,0,0,3,162
load and save empty string on signers address + get account and get storage capacity,0,1,0,346,1283,1,1,1,428,1289,0,3,39742,0,427,197100,3,426,0,0,0,1,0,0,0,3,138
convert int to string and concatenate it + add key to account,0,1,0,343,13,1,1,0,5,20,0,3,73109,0,4,2094,2343,3,0,0,0,1,0,2340,0,3,201
add and remove key to/from account + get signer receiver,1187,1,0,343,15,1,1,0,5,20,0,3,12717,0,4,2358,2377,3,0,0,0,1,0,1187,0,3,158
transfer tokens,0,1994,0,568,16,1,1,0,5,20,0,3,69757,0,4,2480,3989,3,0,0,0,1,0,0,0,3,183
call empty contract function + get account and get storage capacity,0,1,0,343,140,1,1,0,47,146,0,3,46084,0,46,21613,3,45,0,0,0,1,0,0,0,3,52
call empty contract function + add and remove key to/from account,1463,1,0,343,14,1,1,0,5,20,0,3,64673,0,4,2251,2929,3,0,0,0,1,0,1463,0,3,229
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,3226,0,4,3198,3,3,0,0,124,1,0,0,0,3,8
emit event,0,1,0,343,14,1,1,0,5,20,0,3,15164,0,4,2249,2530,3,0,0,0,1,0,0,0,3,19
load and save empty string on signers address + get signer address,0,1,0,346,14,1,1,1,5,20,0,3,251773,0,4,2097,3,3,0,0,0,1,0,0,0,3,147
create new account + get signer address,0,157,0,38251,481,1,1,156,109,436,156,55,162515,0,108,73802,315,55,0,0,52,1,52,0,0,3,127
transfer tokens,0,3311,0,568,16,1,1,0,5,20,0,3,115852,0,4,2480,6623,3,0,0,0,1,0,0,0,3,958
add and remove key to/from account + create new account and deploy contract,843,331,0,91093,1003,111,111,440,445,900,330,113,6675,110,224,153564,2459,113,110,110,220,1,110,843,0,3,278
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,269334,0,4,2235,3,3,0,0,0,1,0,0,0,3,810
get signer vault + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,9774,57152,0,4,2235,3,3,0,0,0,1,0,0,0,3,156
load and save long string on signers address + transfer tokens,0,1821,0,612,17,1,1,1,5,20,0,3,77216,0,4,2524,3643,3,0,0,0,1,0,0,0,3,200
get public account + mint NFT,0,4813,0,962234,17,1,1,0,6,23,0,4,232248,0,5,6178,3,4,0,0,4936,1,0,0,0,3,324
get account and get available balance,0,1,0,343,1132,1,1,0,378,1139,0,376,1494,0,377,174047,3,3,0,0,0,1,0,0,373,3,130
call empty contract function + transfer tokens,0,1091,0,568,17,1,1,0,5,20,0,3,116622,0,4,2637,2183,3,0,0,0,1,0,0,0,3,165
get account and get storage capacity + call empty contract function,0,1,0,343,2267,1,1,0,756,2273,0,3,163084,0,755,348462,3,754,0,0,0,1,0,0,0,3,465
get signer vault + load and save long string on signers address,0,1,0,387,15,1,1,1,5,20,0,3,195022,0,4,2279,3,3,0,0,0,1,0,0,0,3,232
copy array from storage and save a duplicate + get account and get storage capacity,0,1,0,895,2226,1,1,1,742,2231,0,3,4174,0,741,342955,3,740,0,0,47,1,0,0,0,3,194
convert int to string and concatenate it + add and remove key to/from account,761,1,0,343,13,1,1,0,5,20,0,3,322026,0,4,2094,1525,3,0,0,0,1,0,761,0,3,245
load and save empty string on signers address + get account and get storage used,0,1,0,22795,14,1,1,7484,5,20,0,7486,143750,0,4,2138,3,3,0,0,0,1,0,0,0,3,201
mint NFT + copy array from storage and save a duplicate,0,1758,0,350919,19,1,1,1,6,23,0,4,112556,0,5,7323,3,4,0,0,5320,1,0,0,0,3,223
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,72646,0,4,2646,3,3,0,0,0,1,0,0,0,3,70
copy array from storage + create new account and deploy contract,0,172,0,47482,527,58,58,228,233,476,171,60,193409,57,118,81249,402,60,57,57,114,1,57,0,0,3,264
load and save empty string on signers address + get signer receiver,0,1,0,346,16,1,1,1,5,20,0,3,190456,0,4,2361,3,3,0,0,0,1,0,0,0,3,436
convert int to string + get public account,0,1,0,343,13,1,1,0,5,20,0,3,455424,0,4,2094,3,3,0,0,0,1,0,0,0,3,191
get account and get storage used + get signer receiver,0,1,0,343,15,1,1,0,5,20,0,8080,84980,0,4,2358,3,3,0,0,0,1,0,0,0,3,213
get public account + convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,189945,0,4,2094,3,3,0,0,0,1,0,0,0,3,112
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,54182,0,4,2138,3,3,0,0,0,1,0,0,0,3,109
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,621257,0,4,2094,3,3,0,0,0,1,0,0,0,3,203
get account and get balance,0,1,1076,343,3241,1,1,0,1081,5400,0,3,4306,0,1080,517498,3,3,0,0,0,1,0,0,0,3,404
call empty contract function + emit event,0,1,0,343,14,1,1,0,5,20,0,3,156418,0,4,2251,8344,3,0,0,0,1,0,0,0,3,146
create new account and deploy contract + transfer tokens,0,685,0,19589,223,24,24,92,97,204,69,26,21690,23,50,34197,1394,26,23,23,46,1,23,0,0,3,95
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,125686,0,4,2094,3,3,0,0,0,1,0,0,0,3,40
emit event + borrow array from storage,0,1,0,343,15,1,1,0,5,20,0,3,91984,0,4,2803,10273,3,0,0,0,1,0,0,0,3,111
get signer vault + copy array from storage and save a duplicate,0,1,0,895,16,7,7,1,5,29,0,3,62006,0,4,3339,3,3,6,6,71,7,0,0,0,12,112
convert int to string + copy array from storage,0,1,0,343,14,7,7,0,5,29,0,3,291100,0,4,2646,3,3,6,6,0,7,0,0,0,12,134
create new account + load and save long string on signers address,0,196,0,47772,599,1,1,196,135,540,195,68,258558,0,134,91773,393,68,0,0,65,1,65,0,0,3,271
get account and get available balance + transfer tokens,0,1410,0,568,1261,1,1,0,420,1265,0,418,50979,0,419,193795,2821,3,0,0,0,1,0,0,415,3,369
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,78926,0,4,2358,3,3,0,0,0,1,0,0,0,3,231
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,763292,0,4,2094,3,3,0,0,0,1,0,0,0,3,364
borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,244466,0,4,2646,3,3,0,0,0,1,0,0,0,3,316
add and remove key to/from account,977,1,0,343,13,1,1,0,5,20,0,3,6841,0,4,2094,1957,3,0,0,0,1,0,977,0,3,128
mint NFT + emit event,0,2694,0,539977,17,1,1,0,6,23,0,4,122158,0,5,5924,14976,4,0,0,2762,1,0,0,0,3,207
emit event + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,5355,170920,0,4,2251,24921,3,0,0,0,1,0,0,0,3,2530
get public account + create new account,0,325,0,79075,985,1,1,324,221,884,324,111,209252,0,220,151026,651,111,0,0,108,1,108,0,0,3,437
create new account + borrow array from storage,0,457,0,111151,1382,1,1,456,309,1236,456,155,117454,0,308,212254,915,155,0,0,152,1,152,0,0,3,337
add and remove key to/from account,476,1,0,343,13,1,1,0,5,20,0,3,3334,0,4,2094,955,3,0,0,0,1,0,476,0,3,60
emit event + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,8616,109498,0,4,2251,12510,3,0,0,0,1,0,0,0,3,2366
create new account,0,229,0,55747,697,1,1,228,157,628,228,79,306,0,156,106898,459,79,0,0,76,1,76,0,0,3,94
convert int to string + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,361840,0,4,2249,3,3,0,0,0,1,0,0,0,3,172
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,9710,0,4,2358,3,3,0,0,0,1,0,0,0,3,23
emit event + reference tx,0,1,0,343,14,1,1,0,5,20,0,3,205332,0,4,2251,25636,3,0,0,0,1,0,0,0,3,199
get account and get balance,0,1,36,343,121,1,1,0,41,200,0,3,146,0,40,19338,3,3,0,0,0,1,0,0,0,3,20
create new account,0,835,0,202449,2515,7,7,834,561,2253,834,281,1114,0,560,384900,1671,281,6,6,278,7,278,0,0,12,618
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,257474,0,4,2235,3,3,0,0,0,1,0,0,0,3,385
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,20464,0,4,3198,3,3,0,0,787,1,0,0,0,3,39
create new account and deploy contract + get public account,0,400,0,110332,1210,134,134,532,537,1084,399,136,24523,133,270,185501,934,136,133,133,266,1,133,0,0,3,434
reference tx,0,1,0,343,13,7,7,0,5,29,0,3,456198,0,4,2094,3,3,6,6,0,7,0,0,0,12,148
get account and get storage capacity + add and remove key to/from account,618,1,0,343,37,1,1,0,13,44,0,3,4362,0,12,5782,1239,11,0,0,0,1,0,618,0,3,80
copy array from storage and save a duplicate + get signer address,0,1,0,895,15,1,1,1,5,20,0,3,262873,0,4,3198,3,3,0,0,78,1,0,0,0,3,93
mint NFT + get signer address,0,419,0,87108,17,1,1,0,6,23,0,4,337789,0,5,6126,3,4,0,0,428,1,0,0,0,3,130
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,145362,0,4,2251,3,3,0,0,0,1,0,0,0,3,124
get signer address + create new account and deploy contract,0,355,0,97928,1075,119,119,472,477,964,354,121,9263,118,240,164816,829,121,118,118,236,1,118,0,0,3,493
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,156326,0,4,2251,3,3,0,0,0,1,0,0,0,3,140
transfer tokens + call empty contract function,0,799,0,568,17,1,1,0,5,20,0,3,67870,0,4,2637,1599,3,0,0,0,1,0,0,0,3,109
copy array from storage + get signer receiver,0,1,0,343,16,1,1,0,5,20,0,3,54792,0,4,2910,3,3,0,0,0,1,0,0,0,3,92
call empty contract function + add key to account,0,1,0,343,14,1,1,0,5,20,0,3,101717,0,4,2251,840,3,0,0,0,1,0,837,0,3,154
create new account and deploy contract,0,304,0,83870,922,102,102,404,409,828,303,104,709,101,206,141373,710,104,101,101,202,1,101,0,0,3,175
copy array from storage + mint NFT,0,1307,0,263189,18,1,1,0,6,23,0,4,101850,0,5,5917,3,4,0,0,1339,1,0,0,0,3,266
load and save long string on signers address + get account and get available balance,0,1,0,387,416,1,1,1,139,422,0,137,36312,0,138,63871,3,3,0,0,0,1,0,0,134,3,69
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,22164,88646,0,4,2094,3,3,0,0,0,1,0,0,0,3,273
emit event,0,1,0,343,14,1,1,0,5,20,0,3,296504,0,4,2251,49420,3,0,0,0,1,0,0,0,3,340
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,20569,82266,0,4,2094,3,3,0,0,0,1,0,0,0,3,460
copy array from storage and save a duplicate + get account and get available balance,0,1,0,895,2043,1,1,1,681,2048,0,679,7440,0,680,314834,3,3,0,0,182,1,0,0,676,3,208
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,472784,0,4,2138,3,3,0,0,0,1,0,0,0,3,482
load and save empty string on signers address + load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,478906,0,4,2138,3,3,0,0,0,1,0,0,0,3,388
mint NFT,0,2764,0,554591,17,1,1,0,6,23,0,4,33158,0,5,6560,3,4,0,0,2835,1,0,0,0,3,110
create new account and deploy contract,0,49,0,13575,157,17,17,64,69,148,48,19,114,16,36,24158,115,19,16,16,32,1,16,0,0,3,26
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,84942,0,4,2251,3,3,0,0,0,1,0,0,0,3,73
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,288042,0,4,2251,3,3,0,0,0,1,0,0,0,3,290
mint NFT + call empty contract function,0,2069,0,416161,17,1,1,0,6,23,0,4,218404,0,5,6533,3,4,0,0,2122,1,0,0,0,3,567
get account and get available balance,0,1,0,343,1537,1,1,0,513,1544,0,511,2034,0,512,236282,3,3,0,0,0,1,0,0,508,3,200
mint NFT + get account and get storage capacity,0,4242,0,848951,1391,1,1,0,464,1397,0,4,52728,0,463,217749,3,462,0,0,4350,1,0,0,0,3,294
copy array from storage + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,118414,0,4,3198,3,3,0,0,183,1,0,0,0,3,113
load and save empty string on signers address + transfer tokens,0,1166,0,571,17,1,1,1,5,20,0,3,224463,0,4,2483,2333,3,0,0,0,1,0,0,0,3,239
call empty contract function + mint NFT,0,3139,0,629830,17,1,1,0,6,23,0,4,213716,0,5,7127,3,4,0,0,3219,1,0,0,0,3,293
reference tx + copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,428276,0,4,2646,3,3,0,0,0,1,0,0,0,3,681
get account and get balance + get signer vault,0,1,219,343,671,1,1,0,224,1115,0,3,91448,0,223,107136,3,3,0,0,0,1,0,0,0,3,207
get signer receiver + get signer vault,0,1,0,343,15,1,1,0,5,20,0,3,41612,0,4,2358,3,3,0,0,0,1,0,0,0,3,96
mint NFT + emit event,0,906,0,184618,17,1,1,0,6,23,0,4,94192,0,5,6625,13891,4,0,0,928,1,0,0,0,3,131
load and save long string on signers address + get account and get balance,0,1,193,387,593,1,1,1,198,985,0,3,3608,0,197,94544,3,3,0,0,0,1,0,0,0,3,110
call empty contract function + convert int to string,0,1,0,343,14,1,1,0,5,20,0,3,227736,0,4,2251,3,3,0,0,0,1,0,0,0,3,162
add and remove key to/from account,1595,1,0,343,13,1,1,0,5,20,0,3,11167,0,4,2094,3193,3,0,0,0,1,0,1595,0,3,200
borrow array from storage + get public account,0,1,0,343,14,1,1,0,5,20,0,3,226260,0,4,2646,3,3,0,0,0,1,0,0,0,3,302
convert int to string and concatenate it + reference tx,0,1,0,343,13,1,1,0,5,20,0,3,178311,0,4,2094,3,3,0,0,0,1,0,0,0,3,70
get account and get storage capacity + get signer address,0,1,0,343,1147,1,1,0,383,1154,0,3,159247,0,382,176352,3,381,0,0,0,1,0,0,0,3,149
transfer tokens + reference tx,0,1399,0,568,16,1,1,0,5,20,0,3,360346,0,4,2480,2799,3,0,0,0,1,0,0,0,3,220
create new account,0,334,0,81262,1012,1,1,333,227,908,333,114,446,0,226,155163,669,114,0,0,111,1,111,0,0,3,133
copy array from storage + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,3866,199794,0,4,2646,3,3,0,0,0,1,0,0,0,3,1339
convert int to string and concatenate it + reference tx,0,1,0,343,13,1,1,0,5,20,0,3,142235,0,4,2094,3,3,0,0,0,1,0,0,0,3,67
get signer receiver + get account and get storage used,0,1,0,343,15,1,1,0,5,20,0,7771,69002,0,4,2358,3,3,0,0,0,1,0,0,0,3,274
get account and get balance + get account and get storage used,0,1,265,343,808,1,1,0,270,1345,0,14280,58172,0,269,129029,3,3,0,0,0,1,0,0,0,3,313
get signer address + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,490812,0,4,3198,3,3,0,0,28,1,0,0,0,3,164
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,6802,0,4,2094,1363,3,0,0,0,1,0,1360,0,3,111
create new account,0,859,0,208837,2587,1,1,858,577,2308,858,289,1146,0,576,396488,1719,289,0,0,286,1,286,0,0,3,579
load and save long string on signers address + add key to account,0,1,0,387,14,1,1,1,5,20,0,3,279992,0,4,2138,1961,3,0,0,0,1,0,1958,0,3,345
get account and get storage capacity,0,1,0,343,3973,1,1,0,1325,3980,0,3,5282,0,1324,610614,3,1323,0,0,0,1,0,0,0,3,360
get account and get storage used + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3979,32756,0,4,3198,3,3,0,0,648,1,0,0,0,3,86
reference tx + convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,405326,0,4,2094,3,3,0,0,0,1,0,0,0,3,146
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,2107,0,4,2094,424,3,0,0,0,1,0,421,0,3,34
reference tx + get signer address,0,1,0,343,13,1,1,0,5,20,0,3,531912,0,4,2094,3,3,0,0,0,1,0,0,0,3,163
get account and get available balance,0,1,0,343,2122,1,1,0,708,2129,0,706,2814,0,707,326177,3,3,0,0,0,1,0,0,703,3,220
load and save long string on signers address + get account and get balance,0,1,475,387,1439,1,1,1,480,2395,0,3,221210,0,479,229622,3,3,0,0,0,1,0,0,0,3,373
get account and get available balance + get account and get storage used,0,1,0,343,1084,1,1,0,362,1091,0,15386,61536,0,361,166671,3,3,0,0,0,1,0,0,357,3,335
get signer address + get account and get balance,0,1,332,343,1009,1,1,0,337,1680,0,3,276681,0,336,161122,3,3,0,0,0,1,0,0,0,3,230
add key to account + load and save long string on signers address,0,1,0,387,14,7,7,1,5,29,0,3,4471,0,4,2097,186,3,6,6,0,7,0,183,0,12,22
get signer address,0,1,0,343,13,7,7,0,5,29,0,3,313607,0,4,2094,3,3,6,6,0,7,0,0,0,12,108
transfer tokens + emit event,0,580,0,568,17,1,1,0,5,20,0,3,163447,0,4,2637,25024,3,0,0,0,1,0,0,0,3,217
copy array from storage + borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,277402,0,4,2646,3,3,0,0,0,1,0,0,0,3,312
convert int to string + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,642160,0,4,2251,3,3,0,0,0,1,0,0,0,3,472
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,21775,87090,0,4,2094,3,3,0,0,0,1,0,0,0,3,285
transfer tokens + create new account,0,1486,0,15148,196,7,7,60,45,189,60,23,49959,0,44,30060,2973,23,6,6,20,7,20,0,0,12,295
convert int to string + get signer address,0,1,0,343,13,1,1,0,5,20,0,3,795034,0,4,2094,3,3,0,0,0,1,0,0,0,3,299
mint NFT + convert int to string,0,1143,0,231045,17,1,1,0,6,23,0,4,109452,0,5,5901,3,4,0,0,1170,1,0,0,0,3,98
get account and get storage capacity + copy array from storage and save a duplicate,0,1,0,895,1245,1,1,1,415,1250,0,3,2086,0,414,192208,3,413,0,0,17,1,0,0,0,3,114
mint NFT,0,1545,0,311825,17,1,1,0,6,23,0,4,18530,0,5,6607,3,4,0,0,1583,1,0,0,0,3,75
emit event,0,1,0,343,14,1,1,0,5,20,0,3,57602,0,4,2251,9603,3,0,0,0,1,0,0,0,3,67
get account and get balance + transfer tokens,0,1275,486,568,1474,1,1,0,491,2450,0,3,46538,0,490,235274,2551,3,0,0,0,1,0,0,0,3,300
add and remove key to/from account,1037,1,0,343,13,1,1,0,5,20,0,3,7261,0,4,2094,2077,3,0,0,0,1,0,1037,0,3,134
load and save empty string on signers address + get signer address,0,1,0,346,14,1,1,1,5,20,0,3,92995,0,4,2138,3,3,0,0,0,1,0,0,0,3,41
get account and get storage used + add and remove key to/from account,1414,1,0,343,13,1,1,0,5,20,0,8626,44394,0,4,2094,2831,3,0,0,0,1,0,1414,0,3,310
borrow array from storage + add and remove key to/from account,1051,1,0,343,14,1,1,0,5,20,0,3,66695,0,4,2646,2105,3,0,0,0,1,0,1051,0,3,206
load and save empty string on signers address + add key to account,0,1,0,346,14,1,1,1,5,20,0,3,15244,0,4,2138,2553,3,0,0,0,1,0,2550,0,3,196
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,430874,0,4,2251,3,3,0,0,0,1,0,0,0,3,377
get signer address + reference tx,0,1,0,343,13,1,1,0,5,20,0,3,573699,0,4,2094,3,3,0,0,0,1,0,0,0,3,181
call empty contract function + transfer tokens,0,720,0,568,17,1,1,0,5,20,0,3,76137,0,4,2637,1441,3,0,0,0,1,0,0,0,3,114
add and remove key to/from account + get account and get storage capacity,534,1,0,343,505,1,1,0,169,512,0,3,4398,0,168,77698,1071,167,0,0,0,1,0,534,0,3,276
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,392944,0,4,2094,3,3,0,0,0,1,0,0,0,3,122
mint NFT + transfer tokens,0,4304,0,502306,20,1,1,0,6,23,0,4,93178,0,5,7402,3615,4,0,0,2562,1,0,0,0,3,637
get account and get balance + copy array from storage and save a duplicate,0,1,412,895,1251,1,1,1,417,2080,0,3,24844,0,416,200546,3,3,0,0,892,1,0,0,0,3,195
mint NFT,0,3444,0,682725,17,1,1,0,6,23,0,4,41318,0,5,6175,3,4,0,0,3532,1,0,0,0,3,268
borrow array from storage + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,90128,0,4,3198,3,3,0,0,388,1,0,0,0,3,121
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,268526,0,4,2138,3,3,0,0,0,1,0,0,0,3,750
emit event,0,1,0,343,14,1,1,0,5,20,0,3,259604,0,4,2251,43270,3,0,0,0,1,0,0,0,3,591
load and save empty string on signers address + call empty contract function,0,1,0,346,15,1,1,1,5,20,0,3,186262,0,4,2254,3,3,0,0,0,1,0,0,0,3,178
transfer tokens,0,2127,0,568,16,1,1,0,5,20,0,3,74412,0,4,2480,4255,3,0,0,0,1,0,0,0,3,200
convert int to string and concatenate it + get public account,0,1,0,343,13,7,7,0,5,29,0,3,98925,0,4,2094,3,3,6,6,0,7,0,0,0,12,62
