tx,1003,2025,2018,2027,2015,1010,1026,2008,2005,1011,2006,2007,2020,2011,2024,1012,1002,2022,2004,2017,1001,2026,2009,2010,2019,1025,x
convert int to string + copy array from storage and save a duplicate,68568,9,0,0,8,0,47925,0,1917,0,0,0,4657,8,0,0,74319,5,0,8,158227,1722,0,0,0,0,368
call empty contract function + get signer vault,48047,9,0,0,8,0,0,0,0,0,0,0,3811,8,0,0,48047,5,0,8,96098,0,0,0,0,0,805
get account and get storage used,24462,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,24462,5,0,8,48926,0,0,0,24462,0,321
call empty contract function + create new account,33024,2327,0,0,2326,0,0,0,0,0,122,122,2535,2326,0,0,33024,1225,0,1228,66052,0,0,0,0,0,290
convert int to string and concatenate it,167732,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,83866,5,0,8,167734,0,0,0,0,0,691
add key to account + convert int to string,139608,9,0,0,8,0,187902,0,0,0,0,2574,2394,8,0,0,137034,5,2574,8,274072,0,0,0,0,2574,945
create new account + call empty contract function,16696,1415,0,0,1414,0,0,0,0,0,74,74,2615,1414,0,0,16696,745,0,748,33396,0,0,0,0,0,160
get account and get available balance + convert int to string and concatenate it,32926,1611,0,0,1610,0,0,0,0,0,0,0,610004,1610,0,0,15395,539,0,1343,33731,0,267,0,267,0,180
create new account and deploy contract,336,2025,0,112,2136,112,4144,0,224,0,112,224,132582,2136,0,0,112,677,0,680,338,18480,0,0,0,224,347
get signer vault,35836,9,0,0,8,0,0,0,0,0,0,0,3713,8,0,0,35836,5,0,8,71674,0,0,0,0,0,324
mint NFT + get account and get storage used,9511,9,0,0,8,712,0,712,731,2136,0,0,4906,8,0,0,7375,5,0,8,18314,141475,0,0,6663,0,333
get signer receiver + add key to account,13039,9,0,0,8,0,139430,0,0,0,0,1910,3932,8,0,0,4983,5,1910,8,9970,0,0,0,0,1910,339
get account and get balance,1377,9648,0,0,9647,0,0,0,0,0,0,0,1054340,9647,0,0,459,6431,0,8729,1838,0,0,459,0,0,252
get signer receiver + call empty contract function,67495,9,0,0,8,0,0,0,0,0,0,0,4153,8,0,0,62121,5,0,8,124246,0,0,0,0,0,367
transfer tokens,11891,9,0,0,8,3243,0,1081,0,3243,0,2162,4117,8,0,1081,1081,5,0,8,24865,225,0,0,0,0,182
transfer tokens + emit event,20636,9,0,0,8,6678,0,1456,0,4368,0,5222,4338,8,0,1456,3766,5,0,8,40422,225,0,0,0,0,499
get account and get storage used + create new account and deploy contract,3559,1829,0,91,1919,91,3367,0,182,0,91,182,107508,1919,0,0,3377,915,0,918,6849,15015,0,0,3286,182,252
add key to account + get signer address,5148,9,0,0,8,0,187902,0,0,0,0,2574,2200,8,0,0,186021,5,2574,8,372046,0,0,0,0,2574,554
get signer address + add key to account,844,9,0,0,8,0,30806,0,0,0,0,422,2312,8,0,0,26946,5,422,8,53896,0,0,0,0,422,82
call empty contract function + get account and get balance,61069,10364,0,0,10363,0,0,0,0,0,0,0,1274100,10363,0,0,59979,5455,0,8183,121052,0,0,545,0,0,739
borrow array from storage + create new account and deploy contract,4008,1341,0,74,1414,74,2738,0,148,0,74,148,92702,1414,0,0,22790,449,0,452,57016,12208,0,0,0,148,341
copy array from storage,698,9,0,0,8,0,6980,0,0,0,0,0,4001,8,0,0,4188,5,0,8,10472,0,0,0,0,0,20
