tx,TransferCompositeValue,GetCode,GetAccountAvailableBalance,GetValue,GetStorageUsed,RLPDecoding,AllocateStorageIndex,DestroyCompositeValue,TransferArrayValue,GetCurrentBlockHeight,EmitEvent,EncodeValue,CreateAccount,EncodeEvent,GetAccountBalance,UpdateAccountContractCode,EVMGasUsage,Statement,CreateArrayValue,GetBlockAtHeight,GetStorageCapacity,CreateCompositeValue,AddEncodedAccountKey,RevokeEncodedAccountKey,GetAccountContractCode,TransferDictionaryValue,FunctionInvocation,ResolveLocation,GetOrLoadProgram,SetValue,CreateDictionaryValue,GenerateUUID,Loop,estimated,ms
create and destroy EVM bridged account + get account and get storage used,2382,37,0,10185,3856,0,0,1191,71460,0,0,0,0,0,0,0,0,13671,1191,0,0,1191,0,0,37,0,7429,35,44,9528,0,1191,5047,26147,681
get account and get balance + get public account,0,74,0,3111900,0,0,0,0,0,0,0,0,0,0,1150,0,0,24824,0,0,0,0,0,0,74,0,12410,69,10428,0,0,0,10110,47344,160
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10908,5453,0,0,0,0,0,37,0,5453,35,44,0,0,0,5453,21814,30
get signer vault + call empty contract function,0,37,0,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,40574,0,0,0,0,0,0,37,0,20285,35,44,0,0,0,20285,81144,49
decode hex + borrow array from storage,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,39427,12144,0,0,0,0,0,37,0,13153,35,44,0,0,0,18198,70778,140
create new account and deploy contract + create and destroy EVM bridged account,3050,377,0,671321,0,0,608,1525,102748,0,68096,26144,304,608,0,304,0,8541,2133,0,0,1829,0,0,377,0,5487,65,74,62360,0,1525,1829,15857,203
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,166,0,0,0,0,0,37,0,166,35,44,0,0,0,166,666,1
borrow array from storage + copy array from storage and save a duplicate,0,37,0,3401,0,0,3702,0,92550,0,0,1585,0,0,0,0,0,73723,0,0,0,0,0,0,37,0,11825,35,44,1608,0,0,26526,112074,118
call empty contract function + create and destroy EVM bridged account,6084,37,0,25214,0,0,0,3042,182520,0,0,0,0,0,0,0,0,31678,3042,0,0,3042,0,0,37,0,17358,35,44,24336,0,3042,11274,60310,55
create new account + borrow array from storage,0,73,0,1827,0,0,0,0,0,0,34485,0,627,627,0,0,0,91543,0,0,0,0,0,0,73,0,6646,65,74,0,0,0,36741,134930,355
load and save empty string on signers address + copy array from storage and save a duplicate,0,37,0,3401,0,0,3757,0,93925,0,0,2796,0,0,0,0,0,65979,0,0,0,0,0,0,37,0,12675,35,44,2819,0,0,23244,101898,105
get signer vault + borrow array from storage,0,37,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,89988,0,0,0,0,0,0,37,0,6330,35,44,0,0,0,36070,132388,109
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,1251,0,0,0,0,0,37,0,1251,35,44,0,0,0,1251,5006,6
get account and get storage used,0,37,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,3152,0,0,0,0,0,0,37,0,1575,35,44,0,0,0,1575,6302,8
get account and get storage capacity + emit event,0,37,0,3427626,0,0,0,0,0,0,339663,0,0,5959,0,0,0,29176,0,0,1255,5959,0,0,37,0,20703,35,8829,0,0,0,7214,57093,183
call empty contract function + decode hex,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,24612,7233,0,0,0,0,0,37,0,12304,35,44,0,0,0,12304,49220,48
create new account,0,73,0,0,0,0,0,0,0,0,29150,0,530,530,0,0,0,1062,0,0,0,0,0,0,73,0,530,65,74,0,0,0,530,2122,193
get account and get storage capacity,0,37,0,4484230,0,0,0,0,0,0,0,0,0,0,0,0,0,15005,0,0,1667,0,0,0,37,0,11669,35,11713,0,0,0,1667,28341,189
get public account + emit event,0,37,0,223,0,0,0,0,0,0,156123,0,0,2739,0,0,0,9023,0,0,0,2739,0,0,37,0,5879,35,44,0,0,0,3140,18042,13
load and save empty string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1271,0,0,0,0,0,1889,0,0,0,0,0,0,37,0,1258,35,44,1286,0,0,629,3776,7
reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2489,0,0,0,0,0,0,37,0,0,35,44,0,0,0,2487,4976,2
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14586,0,0,0,0,0,0,37,0,14584,35,44,0,0,0,7292,36462,11
add and remove key to/from account + create new account,0,73,0,0,0,0,0,0,462309,0,2741623,0,220,12886,0,0,0,19443,12666,0,0,0,6333,6333,73,0,19219,65,74,0,0,0,6553,45215,430
get account and get balance + call empty contract function,0,74,0,7135945,0,0,0,0,0,0,0,0,0,0,2637,0,0,33234,0,0,0,0,0,0,74,0,16615,69,23811,0,0,0,11341,61190,549
copy array from storage + get signer vault,0,37,0,1990,0,0,0,0,39150,0,0,0,0,0,0,0,0,60993,0,0,0,0,0,0,37,0,5047,35,44,0,0,0,24622,90662,51
load and save empty string on signers address,0,37,0,1273,0,0,0,0,0,0,0,1271,0,0,0,0,0,7559,0,0,0,0,0,0,37,0,5038,35,44,1286,0,0,2519,15116,13
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11894,0,0,0,0,0,0,37,0,11892,35,44,0,0,0,5946,29732,14
get account and get balance,0,74,0,5370385,0,0,0,0,0,0,0,0,0,0,1955,0,0,11732,0,0,0,0,0,0,74,0,5865,69,17673,0,0,0,1955,19552,272
convert int to string + call empty contract function,0,37,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,52696,0,0,0,0,0,0,37,0,26346,35,44,0,0,0,26346,105388,33
create new account + copy array from storage and save a duplicate,0,74,0,3360,0,0,1180,0,29500,0,51425,1585,935,935,0,0,0,21934,0,0,0,0,0,0,74,0,4475,69,78,1608,0,0,8015,34424,469
create and destroy EVM bridged account,5784,37,0,23793,0,0,0,2892,173520,0,0,0,0,0,0,0,0,14462,2892,0,0,2892,0,0,37,0,8676,35,44,23136,0,2892,2892,26030,72
get signer vault + transfer tokens,675,37,0,1954,0,0,0,225,0,0,41850,67,0,450,0,0,0,22975,0,0,0,675,0,0,37,0,11373,35,44,122,0,225,9123,43471,44
create and destroy EVM bridged account + add and remove key to/from account,9700,37,0,39457,0,0,0,4850,444081,0,903807,0,0,4194,0,0,0,30545,9044,0,0,4850,2097,2097,37,0,20841,35,44,38800,0,4850,6947,58333,163
mint NFT,10566,37,0,2389,0,0,3613,0,0,0,0,502845,0,0,0,0,0,24656,0,0,0,3522,0,0,37,0,14088,35,44,710748,0,3522,3522,42266,84
get signer address + transfer tokens to EVM address,5198,37,0,1097021,0,283148,0,1,878116,0,2270584,0,0,5196,0,0,54558000,42224,2599,0,0,2599,0,0,37,0,12993,35,44,919700,0,1,15913,71130,351
get signer address + get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39956,0,0,0,0,0,0,37,0,3028,35,44,0,0,0,19976,62960,20
create new account and deploy contract + get account and get storage capacity,0,562,0,3431754,0,0,978,0,18093,0,109536,42054,489,978,0,489,0,9409,978,0,882,489,0,0,562,0,7641,65,6248,80684,0,0,1371,18421,378
load and save long string on signers address + get signer vault,0,37,0,1416,0,0,0,0,0,0,0,1312,0,0,0,0,0,24914,0,0,0,0,0,0,37,0,13662,35,44,1327,0,0,11248,49824,37
transfer tokens,2505,37,0,1913,0,0,0,835,0,0,155310,67,0,1670,0,0,0,19207,0,0,0,2505,0,0,37,0,9185,35,44,122,0,835,835,29227,45
