tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
copy array from storage and save a duplicate,0,0,0,0,0,0,1608,0,0,13197,109975,44,0,74785,0,0,0,0,37,35,0,0,0,0,4399,26394,0,37,0,0,3360,1585,0,114376,102
create and destroy EVM bridged account,0,0,0,0,6051,0,48408,0,6051,18153,363060,44,0,30257,0,6051,0,0,37,35,0,0,12102,0,0,6051,6051,37,0,0,49065,0,0,54461,90
get account and get storage used + borrow array from storage,0,0,0,0,0,0,0,1744,0,1916,0,44,0,6072,0,0,0,0,37,35,0,0,0,0,0,2776,0,37,0,0,1827,0,0,10764,10
add and remove key to/from account + get account and get storage capacity,0,0,216,216,0,0,0,0,0,4057,15768,3453,0,5035,0,0,487,0,37,35,0,0,0,0,0,703,432,37,93096,0,1329997,0,432,9795,100
get account and get available balance + decode hex,211,0,0,0,0,0,0,211,0,2911,0,1521,0,4349,0,0,0,0,37,35,0,0,0,0,0,590,379,37,0,0,576241,0,0,7850,32
get account and get storage capacity + convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,32956,0,18958,0,38364,0,0,2702,0,37,35,0,0,0,0,0,9723,0,37,0,0,7268380,0,0,81043,307
transfer tokens,0,0,0,0,2853,0,122,0,951,10461,0,44,0,21875,0,951,0,0,37,35,0,0,2853,0,0,951,0,37,176886,0,1954,67,1902,33287,47
add key to account + convert int to string and concatenate it,0,0,0,11243,0,0,0,0,0,84762,820739,44,0,84766,0,0,0,0,37,35,0,0,0,0,0,42381,11243,37,2394759,0,0,0,11243,211909,362
convert int to string + create new account,0,0,0,0,0,121,0,0,0,8653,0,78,0,17310,0,0,0,0,74,69,0,0,0,0,0,8653,0,74,6655,0,0,0,121,34616,73
create new account,0,0,0,0,0,983,0,0,0,983,0,74,0,1968,0,0,0,0,73,65,0,0,0,0,0,983,0,73,54065,0,0,0,983,3934,358
get signer vault + reference tx,0,0,0,0,0,0,0,0,0,8039,0,44,0,37274,0,0,0,0,37,35,0,0,0,0,0,29231,0,37,0,0,1457,0,0,74544,34
copy array from storage and save a duplicate + emit event,0,0,0,0,2608,0,1608,0,0,5396,1500,44,0,8848,0,0,0,0,37,35,0,0,0,0,60,2968,0,37,148656,0,3581,1585,2608,17212,11
copy array from storage + add key to account,0,0,0,132,0,0,0,0,0,11073,117726,44,0,162403,0,0,0,0,37,35,0,0,0,0,0,64986,132,37,28116,0,1868,0,132,238462,147
copy array from storage + create new account and deploy contract,0,0,0,0,655,655,108072,0,0,3112,35705,74,655,19174,0,0,0,0,728,65,0,0,0,0,1310,7537,1310,728,146720,0,1420598,56330,1310,29823,446
transfer tokens + borrow array from storage,0,0,0,0,7902,0,122,0,2634,33629,0,44,0,130411,0,2634,0,0,37,35,0,0,7902,0,0,30564,0,37,489924,0,2487,67,5268,194604,247
load and save long string on signers address + call empty contract function,0,0,0,0,0,0,1327,0,0,9810,0,44,0,18752,0,0,0,0,37,35,0,0,0,0,0,8938,0,37,0,0,1556,1312,0,37500,15
get signer receiver + load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,39384,0,44,0,38690,0,0,0,0,37,35,0,0,0,0,0,15614,0,37,0,0,1954,1271,0,93688,104
transfer tokens + convert int to string and concatenate it,0,0,0,0,14316,0,122,0,4772,58724,0,44,0,115992,0,4772,0,0,37,35,0,0,14316,0,0,7888,0,37,887592,0,1954,67,9544,182604,283
get signer address + copy array from storage,0,0,0,0,0,0,0,0,0,6255,62550,44,0,118125,0,0,0,0,37,35,0,0,0,0,0,49678,0,37,0,0,1827,0,0,174058,76
copy array from storage and save a duplicate + get account and get storage capacity,0,0,0,0,0,0,1608,0,0,21136,52350,14898,0,54700,0,0,2122,0,37,35,0,0,0,0,2094,14686,0,37,0,0,5798583,1585,0,90522,1043
