get signer receiver + get account and get balance,1416,72849,0,10520,2263,30559,5798,392,0,6576,2352,644183,2,4720,100,6788,11492,0,1,2259,1212,0,2,1867,31235,6385,198,2,667881,6285,4622,29568,29588,888,49125,76848,5242,0,16230341,2263,1410,1943274,0,10778,7969,0,4623,593,0,1212,1410,0,491,0,3540,18574,110927,14648,1180,196,649424,2819,0,6062,20439,5798,1769,4465,392,1410,3649119,58172,19461,7152,490,4518,0,77584,1212,29587,2650,17889,387967,0,0,98,1286,98,7096,438596,14945,1412,463932453,55538056
create new account and deploy contract + get account and get balance,1224,243925,0,39012,7411,92649,17068,0,0,12190,0,2026492,2,19504,2,21950,26822,0,1,4876,312,0,2,4876,73152,14632,624,2,2533669,14628,17068,70714,92658,2997,124361,229195,2968,0,53216224,7411,936,5839023,0,7342,21955,0,14681,1966,9964,312,936,0,0,282,14628,56080,295045,48860,4876,0,1997302,1873,0,1750,51211,17068,2441,10815,0,936,11033508,165803,48777,16752,0,12190,0,26000,312,92657,4876,51209,1117127,0,0,312,2448,0,25942,1246389,51205,1032,1485931053,126618072
get account and get available balance,4115,164631,0,26338,4941,62553,11524,0,0,8230,0,1368035,2,13168,2,14822,18109,0,1,3292,822,0,2,3292,49389,9879,1644,1,1711104,9876,11524,47743,62562,6577,83966,154747,6578,0,36474857,4941,2466,3942004,0,14800,14825,0,16457,4932,0,822,2466,0,0,0,9876,37862,199203,32926,3292,0,1348257,4933,0,14797,34578,11524,1649,25501,0,2466,7448524,111947,32934,25506,0,8230,0,65768,822,62561,3292,34577,754000,0,0,2466,1653,0,157824,841281,34573,2468,1018398506,233495376
,11,203,0,34,7,79,14,0,0,10,0,1718,0,16,0,20,24,0,1,8,6,0,8,6,68,19,2,0,2148,14,14,67,79,9,112,195,20,0,46058,7,3,5029,0,26,20,0,13,7,0,2,4,0,0,0,12,48,260,40,5,0,1706,12,0,32,44,15,4,40,0,3,9481,143,44,27,0,10,2,0,1,78,4,44,973,0,1,3,2,0,152,1097,44,6,1292507,5420272
dict + ephemeral ref,16392,231,0,34,9,81,16,0,1,10,0,1901,2,16,2,26,28,0,1,5,0,24484,2,4,68,14,0,2,2246,12,16,66,90,1,120,215,2,0,46388,9,0,5507,0,4,31,0,17,0,0,0,4144,12242,0,0,12,52,282,46,4,0,1838,1,0,53304,55,16,5,20549,0,0,10365,158,59,24,1,10,4144,1048720,0,89,5,53,1056,0,0,0,13,1,33152,1211,49,2,56513870,61888136
borrow array from storage + get account and get storage used,47050,231,1,34,9,81,16,1,0,10,0,1914,2,16,3,26,28,0,1,5,4455,0,2,4,70,15,0,3,2792,13,16,68,90,1,125,213,15859,0,69289,9,0,5567,0,31718,33,0,17,0,289575,4455,4455,0,1,57915,12,55,293,46,4,0,1855,1,0,98541,56,16,5,13384,0,0,10476,157,61,20336,0,10,0,4008624,0,89,4,53,1075,0,0,0,15,0,126864,1231,49,4457,541955651,229914176
character + convert int to string and concatenate it,7469,231,0,36,9,81,16,1,0,10,0,1890,2,16,2,26,26,0,1,4,0,0,2,4,69,15,0,2,8355,12,16,68,90,1,122,212,2,0,46344,9,0,5493,0,4,31,6784,17,0,0,0,0,0,0,0,12,52,282,46,4,0,1834,1,0,21712,55,16,5,6803,0,0,10334,156,57,1382,0,10,0,483080,0,89,4,53,1055,0,0,0,13,0,0,1209,49,2,26902713,17277904
convert int to string and concatenate it + create new account and deploy contract,37466,20265,0,2926,657,8478,1609,108,0,1819,648,178933,2,1312,29,1889,3185,0,1,625,0,0,2,517,8658,1771,0,2,651723,1740,1285,8198,8217,55,13625,21325,137,0,4488460,657,0,539769,0,409,2218,0,17,27,2862,0,0,0,135,81,984,5155,30771,4096,328,54,180366,1,0,74814,5671,1609,491,73,108,0,1013544,16139,5403,75106,135,1252,0,2693032,0,8216,733,4967,107768,0,0,0,363,27,999,121828,4153,29,330178489,123861048
get signer receiver + iteration,13956,231,0,35,9,81,16,0,0,10,0,1921,3,16,3,26,29,0,1,5,7624,0,6202,5,71,15,2,3,2171,13,16,70,90,6,124,213,30498,0,184501,9,7626,5585,1,60996,32,0,17,5,41850,7624,7626,0,1,186,12,54,289,46,4,0,1858,15251,0,63108,57,16,5,14029,0,7626,10502,157,61,21472,0,10,0,889216,7624,89,4,53,1072,0,0,0,15,0,40,1236,49,7628,163045491,113578608
copy array from storage and save a duplicate + get account and get balance,3846,69027,2,10942,2061,26541,5092,433,0,4222,1080,584471,2,5200,112,6182,8344,0,1,1840,1112,0,504,1624,23833,5309,216,3,700317,5199,4660,23074,26982,973,39655,67606,866,0,15049493,2061,324,1721837,0,2056,6621,0,5093,648,20080,108,324,0,109,4016,3900,16363,90910,13762,1300,216,582475,649,0,8574,16472,5308,1085,5197,432,324,3242775,49190,14965,6930,540,3466,0,344272,108,26981,1408,15389,333943,0,0,108,771,108,7792,378275,14305,1832,459506924,60072696
