tx,2006,2007,2011,1025,2005,2027,2017,2019,1003,2020,2010,2018,1026,2004,1010,2025,2026,2024,1001,2015,2022,1041,2008,2009,1011,1012,1002,1040,estimated,actual
copy array from storage,0,0,8,0,0,0,8,0,11823,4001,0,0,118230,0,0,9,0,0,177347,8,5,0,0,0,0,0,70938,0,260108,756
mint NFT + create new account,48,48,920,0,1763,0,488,0,6924,5303,0,0,0,0,1719,921,338273,0,12133,920,485,0,1719,0,5157,0,1767,0,20824,148
get account and get storage used + get account and get storage capacity,0,0,698,0,0,0,583,6775,7350,268849,0,115,0,0,0,699,0,0,14129,698,235,0,0,0,0,0,6890,0,28369,141
iteration + string toLower,0,0,8,239,0,0,8,0,96735,2394,0,0,23900,0,0,9,0,0,218569,8,5,0,0,0,0,0,120874,0,436178,278
function + convert int to string and concatenate it,0,0,8,0,0,0,8,0,66562,2312,0,0,0,0,0,9,0,0,193014,8,5,0,0,0,0,0,96505,0,356081,361
borrow array from storage + address,0,0,8,0,0,0,8,0,249,4124,0,0,0,0,0,9,0,0,13741,8,5,0,0,0,0,0,6495,0,20485,37
iteration,0,0,8,399,0,0,8,0,39900,2312,0,0,39900,0,0,9,0,0,121697,8,5,0,0,0,0,0,80199,0,241796,222
load and save empty string on signers address,0,0,8,0,0,0,8,0,77862,3591,0,0,0,0,0,9,1148,0,116795,8,5,0,0,0,0,0,38931,0,233588,288
add and remove key to/from account + dict,0,1168,8,1168,0,0,8,0,1752,2394,0,0,42632,584,0,9,0,584,58540,8,5,0,0,0,0,0,28976,28392,89268,244
add and remove key to/from account,0,5914,8,5914,0,0,8,0,8871,2394,0,0,215861,2957,0,9,0,2957,8873,8,5,0,0,0,0,0,2957,0,20701,547
create new account + ephemeral ref,108,108,1952,0,0,0,656,0,108,2312,0,0,0,0,0,1953,0,0,125536,1952,653,0,0,0,0,0,41880,0,167524,313
emit event,0,14367,8,0,0,0,8,0,28734,2615,0,0,0,0,14367,9,0,0,43103,8,5,0,0,0,0,0,14367,0,86204,121
emit event,0,3417,8,0,0,0,8,0,6834,2533,0,0,0,0,3417,9,0,0,10253,8,5,0,0,0,0,0,3417,0,20504,24
copy array from storage + function,0,0,8,0,0,0,8,0,3648,4001,0,0,36480,0,0,9,0,0,154410,8,5,0,0,0,0,0,71731,0,229789,205
add key to account + reference tx,0,2235,8,2235,0,0,8,0,4470,2394,0,0,163155,2235,0,9,0,0,147676,8,5,0,0,0,0,0,145437,0,297583,340
get public account + emit event,0,12472,8,0,0,0,8,0,39474,2533,0,0,0,0,12472,9,0,0,66480,8,5,0,0,0,0,0,27002,0,132956,156
get signer receiver + float,0,0,8,0,0,0,8,0,6465,3932,0,0,0,0,0,9,0,0,9796,8,5,0,0,0,0,0,4896,0,21157,51
add key to account + get signer address,0,1672,8,1672,0,0,8,0,3344,2394,0,0,122056,1672,0,9,0,0,158248,8,5,0,0,0,0,0,79122,0,240714,1322
function,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,199604,8,5,0,0,0,0,0,99801,0,299405,219
get signer vault + create new account,72,72,1304,0,0,0,440,0,10245,3590,0,0,0,0,0,1305,0,0,20494,1304,437,0,0,0,0,0,10245,0,40984,435
address,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,65994,8,5,0,0,0,0,0,32996,0,98990,68
copy array from storage and save a duplicate + mint NFT,0,0,8,0,1503,0,8,0,5600,4296,0,0,7395,0,1178,9,231469,0,13282,8,5,0,1178,0,3534,0,2954,0,21836,97
add and remove key to/from account,0,6558,8,6558,0,0,8,0,9837,2312,0,0,239367,3279,0,9,0,3279,9839,8,5,0,0,0,0,0,3279,0,22955,534
convert int to string + transfer tokens,0,328,8,0,0,0,8,0,57796,4240,0,0,0,0,492,9,225,0,115760,8,5,0,164,0,492,164,56156,0,229712,158
character,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,291462,8,5,0,0,0,0,0,145730,0,437192,402
iteration,0,0,8,97,0,0,8,0,9700,2394,0,0,9700,0,0,9,0,0,29587,8,5,0,0,0,0,0,19497,0,58784,68
address + call empty contract function,0,0,8,0,0,0,8,0,5708,2615,0,0,0,0,0,9,0,0,110510,8,5,0,0,0,0,0,55253,0,171471,110
load and save long string on signers address + character,0,0,8,0,0,0,8,0,95006,3300,0,0,0,0,0,9,1155,0,152515,8,5,0,0,0,0,0,52504,0,300025,307
transfer tokens,0,350,8,0,0,0,8,0,1925,4240,0,0,0,0,525,9,225,0,4027,8,5,0,175,0,525,175,175,0,6127,20
create new account + get signer receiver,7,7,134,0,0,0,50,0,32158,4055,0,0,0,0,0,135,0,0,21452,134,47,0,0,0,0,0,10724,0,64334,228
convert int to string and concatenate it,0,0,8,0,0,0,8,0,66778,2312,0,0,0,0,0,9,0,0,66780,8,5,0,0,0,0,0,33389,0,166947,160
